date,category,subcategory,type,description,amount,department,vendor,invoice_number,payment_status,notes
2024-01-01,Revenue,SaaS Subscriptions,income,Monthly SaaS recurring revenue - Enterprise tier,285000,Sales,,INV-2024-001,received,Enterprise clients - 42 accounts
2024-01-01,Revenue,SaaS Subscriptions,income,Monthly SaaS recurring revenue - Pro tier,128000,Sales,,INV-2024-002,received,Pro clients - 156 accounts
2024-01-01,Revenue,SaaS Subscriptions,income,Monthly SaaS recurring revenue - Starter tier,42000,Sales,,INV-2024-003,received,Starter clients - 340 accounts
2024-01-01,Revenue,Professional Services,income,Onboarding & implementation services,48000,Professional Services,,INV-2024-004,received,3 enterprise implementations
2024-01-01,Revenue,Licensing,income,On-premise license fee - Q1,65000,Sales,,INV-2024-005,received,Annual license renewal
2024-01-01,Revenue,Other,income,Training workshops and certifications,8500,Professional Services,,INV-2024-006,received,2 workshops delivered
2024-01-15,Expense,Payroll & Benefits,expense,Employee salaries - Engineering,185000,Engineering,ADP Payroll,PAY-2024-001,paid,28 engineers
2024-01-15,Expense,Payroll & Benefits,expense,Employee salaries - Sales & Marketing,95000,Sales,ADP Payroll,PAY-2024-002,paid,18 sales reps
2024-01-15,Expense,Payroll & Benefits,expense,Employee salaries - G&A,62000,Operations,ADP Payroll,PAY-2024-003,paid,12 admin staff
2024-01-15,Expense,Payroll & Benefits,expense,Employee benefits & insurance,48000,HR,BlueCross,BEN-2024-001,paid,Health dental vision 401k
2024-01-20,Expense,Infrastructure,expense,AWS cloud hosting,38500,Engineering,Amazon Web Services,AWS-2024-001,paid,Production and staging environments
2024-01-20,Expense,Infrastructure,expense,Datadog monitoring & APM,4200,Engineering,Datadog Inc,DD-2024-001,paid,Annual plan monthly billing
2024-01-20,Expense,Infrastructure,expense,Snowflake data warehouse,6800,Engineering,Snowflake Inc,SF-2024-001,paid,Compute and storage credits
2024-01-22,Expense,Marketing & Sales,expense,Google Ads - SEM campaigns,28000,Marketing,Google LLC,GADS-2024-001,paid,Brand and category keywords
2024-01-22,Expense,Marketing & Sales,expense,LinkedIn Ads - B2B campaigns,15000,Marketing,LinkedIn Corp,LI-2024-001,paid,Lead gen and awareness
2024-01-22,Expense,Marketing & Sales,expense,Content marketing & SEO tools,4500,Marketing,SEMrush,SEM-2024-001,paid,Annual subscription
2024-01-25,Expense,R&D,expense,Third-party API licenses,12000,Engineering,Various,API-2024-001,paid,OpenAI Twilio SendGrid
2024-01-25,Expense,R&D,expense,Software development tools,8500,Engineering,JetBrains,JB-2024-001,paid,IDE licenses CI/CD tools
2024-01-28,Expense,G&A,expense,Office lease - HQ,32000,Operations,Brookfield Properties,LEASE-2024-001,paid,Monthly lease payment
2024-01-28,Expense,G&A,expense,Office supplies & equipment,3200,Operations,Staples,SUP-2024-001,paid,Monitors keyboards misc
2024-01-28,Expense,G&A,expense,Legal & accounting fees,8500,Finance,Baker McKenzie,LEG-2024-001,paid,Quarterly retainer
2024-01-30,Expense,G&A,expense,Business insurance,7200,Finance,Hartford Insurance,INS-2024-001,paid,E&O and D&O coverage
2024-02-01,Revenue,SaaS Subscriptions,income,Monthly SaaS recurring revenue - Enterprise tier,292000,Sales,,INV-2024-007,received,Enterprise clients - 43 accounts (+1 new)
2024-02-01,Revenue,SaaS Subscriptions,income,Monthly SaaS recurring revenue - Pro tier,134000,Sales,,INV-2024-008,received,Pro clients - 164 accounts (+8 new)
2024-02-01,Revenue,SaaS Subscriptions,income,Monthly SaaS recurring revenue - Starter tier,44500,Sales,,INV-2024-009,received,Starter clients - 352 accounts (+12 new)
2024-02-01,Revenue,Professional Services,income,Onboarding & implementation services,52000,Professional Services,,INV-2024-010,received,4 enterprise implementations
2024-02-01,Revenue,Licensing,income,Custom integration licensing,18000,Sales,,INV-2024-011,received,API premium access
2024-02-01,Revenue,Other,income,Consulting & advisory,12000,Professional Services,,INV-2024-012,received,CFO advisory services
2024-02-15,Expense,Payroll & Benefits,expense,Employee salaries - Engineering,192000,Engineering,ADP Payroll,PAY-2024-004,paid,29 engineers (+1 new hire)
2024-02-15,Expense,Payroll & Benefits,expense,Employee salaries - Sales & Marketing,98000,Sales,ADP Payroll,PAY-2024-005,paid,19 sales reps (+1 new hire)
2024-02-15,Expense,Payroll & Benefits,expense,Employee salaries - G&A,62000,Operations,ADP Payroll,PAY-2024-006,paid,12 admin staff
2024-02-15,Expense,Payroll & Benefits,expense,Employee benefits & insurance,50500,HR,BlueCross,BEN-2024-002,paid,Health dental vision 401k
2024-02-18,Expense,Infrastructure,expense,AWS cloud hosting,41200,Engineering,Amazon Web Services,AWS-2024-002,paid,Increased compute for new features
2024-02-18,Expense,Infrastructure,expense,Datadog monitoring & APM,4200,Engineering,Datadog Inc,DD-2024-002,paid,Annual plan monthly billing
2024-02-18,Expense,Infrastructure,expense,Snowflake data warehouse,7100,Engineering,Snowflake Inc,SF-2024-002,paid,Increased query volume
2024-02-20,Expense,Marketing & Sales,expense,Google Ads - SEM campaigns,32000,Marketing,Google LLC,GADS-2024-002,paid,Expanded keyword targeting
2024-02-20,Expense,Marketing & Sales,expense,LinkedIn Ads - B2B campaigns,18000,Marketing,LinkedIn Corp,LI-2024-002,paid,Increased budget for Q1 push
2024-02-20,Expense,Marketing & Sales,expense,Industry conference sponsorship,25000,Marketing,SaaStr,CONF-2024-001,paid,SaaStr Annual booth + speaking slot
2024-02-22,Expense,R&D,expense,Third-party API licenses,12500,Engineering,Various,API-2024-002,paid,OpenAI usage increase
2024-02-22,Expense,R&D,expense,QA automation tools,6000,Engineering,BrowserStack,BS-2024-001,paid,Cross-browser testing
2024-02-25,Expense,G&A,expense,Office lease - HQ,32000,Operations,Brookfield Properties,LEASE-2024-002,paid,Monthly lease payment
2024-02-25,Expense,G&A,expense,Travel & entertainment,9500,Sales,Various,TE-2024-001,paid,Client meetings and site visits
2024-02-25,Expense,G&A,expense,Recruiting & hiring costs,15000,HR,LinkedIn Recruiter,REC-2024-001,paid,Engineering recruiter fees
2024-03-01,Revenue,SaaS Subscriptions,income,Monthly SaaS recurring revenue - Enterprise tier,298000,Sales,,INV-2024-013,received,Enterprise clients - 44 accounts (+1 new)
2024-03-01,Revenue,SaaS Subscriptions,income,Monthly SaaS recurring revenue - Pro tier,141000,Sales,,INV-2024-014,received,Pro clients - 172 accounts (+8 new)
